Temp (K),r (mOhm cm),Seebeck (uV/K),Thermal Conductivity (milliwatts/cm*K))
200,0.43408,159.038,2.04818
210,0.47628102,166.932,1.9701082
220,0.52030328,174.36,1.8972768
230,0.56614678,181.322,1.8296858
240,0.61381152,187.818,1.7673352
250,0.6632975,193.848,1.710225
260,0.71460472,199.412,1.6583552
270,0.76773318,204.51,1.6117258
280,0.82268288,209.142,1.5703368
290,0.87945382,213.308,1.5341882
300,0.938046,217.008,1.50328
310,0.99845942,220.242,1.4776122
320,1.06069408,223.01,1.4571848
330,1.12474998,225.312,1.4419978
340,1.19062712,227.148,1.4320512
350,1.2583255,228.518,1.427345
360,1.32784512,229.422,1.4278792
370,1.39918598,229.86,1.4336538
380,1.47234808,229.832,1.4446688
390,1.54733142,229.338,1.4609242
400,1.624136,228.378,1.48242
410,1.70276182,226.952,1.5091562
420,1.78320888,225.06,1.5411328
430,1.86547718,222.702,1.5783498
440,1.94956672,219.878,1.6208072
450,2.0354775,216.588,1.668505
460,2.12320952,212.832,1.7214432
470,2.21276278,208.61,1.7796218
480,2.30413728,203.922,1.8430408
490,2.39733302,198.768,1.9117002
500,2.49235,193.148,1.9856
510,2.58918822,187.062,2.0647402
520,2.68784768,180.51,2.1491208
530,2.78832838,173.492,2.2387418
540,2.89063032,166.008,2.3336032
550,2.9947535,158.058,2.433705
560,3.10069792,149.642,2.5390472
570,3.20846358,140.76,2.6496298
